"","title","point","review"
"119","피막","9","아무 생각없이 보다 얻어 걸린 대박영화네요...웃음과감동 그리고 적절한 공포....개봉한지 8년이 지난 지금 감상했습니다한국 뮤직 비디오에도 출연한 이력이 있는여주인 다비카후네~  지금도 유명하고 이쁘지만8년전 미모가 더 이쁜거 같네요!!"
"120","열혈형사","10","인권씨를 좋아하는 팬으로써 안타깝네요.개성과 연기력에 걸맞는 좋은영화 만나시길..."
"121","미나리","10","이런 영화가 많이 나왔으면.... 신파가 없으니 여운이 더 오래 가네요"
"122","기방도령","6","텔미 뭐야 진짜ㅋㅋㅋㅋ준호때문에 봤다"
"123","황해","10","작품성으론 사실상 또 하나의 만점 영화, 무슨 설명이 더 필요한가? 한 마디로 명불허전 나홍진의 또 하나의 곡성과 추격자, 그나저나 아내가 임신했는대도 불구하고 마음 속으로 피눈물을 흘리며 강간씬을 찍은 철민이 형님 제발 이젠 좀 뜨고 편하게 살았으면 좋겠습니다..."
"124","극장판 귀멸의 칼날: 무한열차편","8","아 나 너무 기대하고 가서 좀 아쉬웠음 울 준비 다했는데 한방울 흘리고 나옴"
"125","미나리","8","그럼에도 가족, 그렇기에 가족."
"126","미나리","9","괴로워도 슬퍼도 꿋꿋이 강하게 살아갈, 이 세상 모든 미나리들을 응원하며."
"127","극장판 귀멸의 칼날: 무한열차편","10","최고의 애니다 흑....감동적이고 슬포"
"128","극장판 귀멸의 칼날: 무한열차편","10","좋다.. 좋아.. 4dx로 보세요.."
"129","미나리","8","희망이 사라져도 희망은 있다"
"130","피아니스트","10","최고의 실화영화입니다 꼭 보세요  이런 영화 다시는 없을듯"
"131","머니백","10","생각도 못한 재미 !!ㅋㅋ 시간가는 줄 모르고 웃다 울다 재밌습니다!!"
"132","죽여주는 여자","10","암울했지만 정말 잘봤습니다 윤여정님 최고"
"133","미나리","9","성장영화입니다. 깊은곳에서 오는 감정이 있었어요.미나리 많이 넣은신선한 회무침이 생각나요저 뭔소리하는거죠ㅋㅋㄱ영상미, 음악 다 좋아요"
"134","미나리","8","영화가 아니라 누군가의 삶을 살짝 엿본 것 같다. 특히나 영화 마지막 부분의 사진들... 우리 고모네에 걸려있는 빛바랜 사진액자와 똑 닮아서 놀랐다. 향이 진한 미나리를 좋아하지 않지만, 언젠가 타국에서 살게 된다면 미나리를 그리워하게 되려나 라는 생각을 한번 하게 해준 영화."
"135","미나리","10","최고의 수혜자는 브레드 핏 ! 감독은 소설같은 전개를 영상으로 잘 펼쳤고 문학적 베이스가 매우 탄탄하다고 누껴졌움"
"136","핫 썸머 나이츠","6","그냥 뻔한 결말에 뻔한 내용, 하지만 미래에서 과거를 해설하는 것과 중간중간 흘러나오는 음악들, 옜날 미국의 분위기가 너무 좋았던 영화였다"
"137","82년생 김지영","6","책읽었지만 초반부에는 흥미진진해서 읽었지만 끝까지 반전은없었고  그냥 너무나 평범한 현대여성의 결혼후의 모습 다 그리살지않나 그렇지만 왜 헛소리를한거지?치매는 아닌거잖아요 ㅋ작가의 고발프로 피디출신다웠음!!"
"138","톰과 제리","6","스토리 많이 부족하고 부실하지만톰과 제리 를 영화관에서 본것만으로도 만족합니다."
"139","카오스 워킹","10","소재도 신선하고 간만에 극장에서 재밌게 봄"
"140","소울","10","간만에 힐링하고 너무 좋았어요!"
"141","극장판 귀멸의 칼날: 무한열차편","1","귀멸의 칼날 시간 날렸네 최악이다"
"142","극장판 귀멸의 칼날: 무한열차편","10","생존 200명 사망 1명...."
"143","미나리","10","영화 후반부 데이빗이 뛰어가던 장면, ‘할머니 가지마! 우리랑 같이 살자!’ 영원히 잊혀지지 않을 것 같다."
"144","미나리","1","다들 좋은 평을 내고 있는 마당에...감독과 제작진 거의 모두 한국인이 아닌데 너무 많은 매스컴에서 마치 자랑스런 한국인이 만든 한국영화인냥 은근슬쩍 작품국적을 둔갑시키고 있다는 생각을 했다. 전형적인 동양여성의 외형을 가진 한예리와 윤여정의 캐스팅은 완벽했다. 그러나 스티븐연의 어눌한 한국말에 보는내내 어색했다. 그리고 느닷없는 윤여정의 중풍은 고다르의 쩜프컷이 생각났다. 제발 JTBC는 이 작품을 봉준호의 기생충 영광인냥 재현하지 말아주었으면... 기생충과 미나리는 다르다."
"145","라스트 레터","10","옛날 그 감동 그대로*^^*"
"146","마이너리티 리포트","10","역시 스필버그임 영화관에서 못본게 아쉬운 영화"
"147","스타워즈: 라스트 제다이","1","평론가분들께 바칩니다"
"148","미나리","10","잔잔한 여운이 오래 가는 영화그리고 윤여정"
"149","미나리","6","가족이 웬수다 이거하나 느낌 왜 이렇게 호평받고 상을 많이탔는지 난 도통 모르겠다"
"150","미나리","8","가족애를 느끼게하는 훈훈한 영화잘봤습니다"
"151","극장판 귀멸의 칼날: 무한열차편","10","애니로 표현된 장면들과 액션씬은 입이 다물어지지 않을정도였다 애니는 그저 잔잔하고플때 편하게 보는 장르였는데 온 신경을 집중시키는 작품이였다 그야말로 요즘말로 가슴이 웅장해졌다 최고의 작품이였다"
"152","소울","6","앞부분에 토끼굴은 왜 보여줬는지 모르겠음 성인이 보고 즐길만한 내용은 아닌듯"
"153","미나리","9","한예리가 미국인들이 좋아하는 동양인 스타일"
"154","고질라: 킹 오브 몬스터","10","밀리 바비 브라운이 원숭이띠라는 놀라운 사시ㄹ..."
"155","허트 로커","10","내가 가장 재밌게 본 미국 군대영화 ""아메리칸 스나이퍼"", ""허트 로커"" "" 핵소고지"" 이 셋은 진짜 제대로다.."
"156","미나리","9","그늘이 지고, 물이 고여 늘 축축한 환경에도 불구하고 삶을 유지하고 버텨내는 미나리가 가진 생명력. 그게 바로 '가족'이라는 은유겠지요."
"157","미나리","6","지루함의 미학, 어떤 주제의식을 전달하는지 이해 못했다."
"158","미나리","8","나쁘지 않았다.방금 보고옴."
"159","미나리","8","보고나니 아름다기도 하고 먹먹하네요."
"160","미나리","10","바쁘지도 흥분하지도 않으나 게으르지 않게 봐야하는 영화입니다."
"161","극장판 귀멸의 칼날: 무한열차편","10","가슴이 웅장해진다.."
"162","소울","9","소울 덕에 집에가는 길 마저도 나의 불꽃을 찾았어요~^^"
"163","미나리","10","어떤 역사영화보다 감동적"
"164","극장판 귀멸의 칼날: 무한열차편","10","키부츠지 무잔은 등장 안하나요? 왜"
"165","극장판 귀멸의 칼날: 무한열차편","10","키부츠지 무잔은 등장 안하나요? 왜"
"166","미나리","10","마음 따뜻한 영화입니다자극적인 영화만보다가~~~편하하게 관람 강추~~~"
"167","미나리","10","마음 따뜻한 영화입니다자극적인 영화만보다가~~~편하하게 관람 강추~~~"
"168","협상","10","딴건 다 필요없고 현빈 손예진 연기에 감동받았습니다."
"169","협상","10","딴건 다 필요없고 현빈 손예진 연기에 감동받았습니다."
"170","극장판 귀멸의 칼날: 무한열차편","10","렌고쿠...허헝..ㅠㅠ.."
