"","vtitle","vpoint","vreview"
"138","명량","6","외국인들 눈에는 영화가 신선했나보다. 나에겐 스티븐 연 한국말 많이 늘었네 정도의 감흥."
"139","명량","10","이 영화는 미치다못해 경이롭다...."
"140","극장판 귀멸의 칼날: 무한열차편","1","쓰레기 전범영화 퉤 이런영화는 소비 금지임"
"141","승리호","10","8세 아이랑 함께 봤는데 너무 감동적이였어요."
"142","미션 파서블","8","보는내내 속이 거북했어요..남자분들 혼자만 보세요 커플끼리는 비추해요..자극적이기는 엄청 자극적이에요..김강우 연기랑 연회장면이 기억에 남아요 여주인공 예쁘네요.."
"143","이스케이프 플랜3","6","가족이 아메리칸 드림 이루는 모습이 나왔으면 더 좋았을듯 연기는 굿임"
"144","극장판 귀멸의 칼날: 무한열차편","7","이엘리야 이쁜맛에보긴봤는데.. 휠체어에 곰돌이인형.. 매달고 다니지마라.. 죽는다..진짜;;"
"145","승리호","6","색다른 영상미를 느낄수있었다. 배우들 연기잘함"
"146","톰과 제리","9","고난 속에서 살아남는 가족 이야기. 기생충이 사회 부조리를 콕 짚어 내려다봤다면, 미나리는 현장 속으로 쑥 들어가 버린다. 연기, 촬영, 음악도 고루 좋은 듯"
"147","명량","10","그냥 애니메이션을 보면서 영상에 압도된적은 처음이었습니다. 정말 최고네요"
"148","명량","10","할머니가 보고 싶어졌다."
"149","명량","8","잔잔하고 아름다운.미나리 옆 잔물결같은 영화."
"150","극장판 귀멸의 칼날: 무한열차편","1","감독님, 촬영장에 불좀 키고 찍으세요."
"151","승리호","6","내가 공감할수 없는 세대의 이야기 보고 나서도 여전히 공감하지 못했다"
"152","미션 파서블","10","나의 어릴 적 동심과 추억을 예쁜 앨범으로 만들어 준 행복한 선물같은 영화"
"153","이스케이프 플랜3","10","조온나재밌음ㅋㅋ보는내내 개꿀잼"
"154","극장판 귀멸의 칼날: 무한열차편","6","여기 나왔던 조연들은 다 대박이다... 지금 다 잘나가는 사람들만 나오네"
"155","승리호","10","간만에 한국영화 재밌어요 ^^"
"156","톰과 제리","10","그럼에도 불구하고 꿋꿋하게!"
"157","명량","10","최고의 영화입니다. 추천합니다."
"158","명량","10","담백한 연출이 좋았어요"
"159","명량","8","삶을 되돌아 보게 하는 잔잔한 영화입니다"
"160","극장판 귀멸의 칼날: 무한열차편","10","4번 즙짰습니다1. 탄지로 꿈속 회상씬2. 렌코쿠 첫 기술3. 렌코쿠 부상 후 탄지로 오열4. 렌코쿠 사망 직전 어머니 재회씬진짜 귀칼은 전설입니다"
"161","승리호","4","대한민국 관객의 눈은 높아졌음. 이게 뭐임."
"162","미션 파서블","10","그냥 영화시작하고 20분지나고부터 계속 울었어요 휴지뽑고 닦고 다젖고 젖어서 계속 눈물났어요 마음이저릴듯이크게다가온영화에요 저는 할아버지가 아주애기때 돌아가셔서 추억이없어 공감되는스토리는아니였던 제가 이정도오열하는데 하 정말 너무감동받고 그냥 마음속 깊게 새기고싶은 영화입니다 너무 잘봤어요"
"163","이스케이프 플랜3","4","뭐 어쩌라는건지 기대가 너무 높았나 엥 스러웠다..갑자기 집에서 티비만 보고있으라니깐 구지구지 쓰레기를 태우고 미나리 찬양에...음;"
"164","극장판 귀멸의 칼날: 무한열차편","10","이용철이는 평점이 항상 낮냐"
"165","승리호","7","킬링타임용 괜찮음.철부지가 현실을 깨닫고 철이 드는 과정.주연,조연보다 우정출연한 유지태의압도적인 장악력이 돋보이는 작품."
"166","톰과 제리","8","진짜 가족같은, 모든 배우들의 연기가 넘 좋았어요. 특히 한예리 배우님의 연기가 이번에 눈에 띄게 좋았습니다. 윤여정 배우님의 새로운 할머니 역할도 참 인상 깊었고, 극의 중심을 잘 잡아주셔서 참 좋았습니다. 잔잔한 연출과 OST도 무척 좋았구요. 가족의 의미를 다시 새기는 좋은 영화였습니다."
"167","명량","10","가장의 무게를 그 시대를 빌어 잘 표현한 영화입니다!!"
"168","명량","10","배우들의 연기력이 대박이다...."
"169","명량","8","소박하지만 담백하게, 어디에서든 피어날 사람들의 이야기"
"170","극장판 귀멸의 칼날: 무한열차편","4","독립영화같은느낌차분하고조용한"
"171","승리호","10","킬링타임으로 가서 봤는데 생각보다 너무 재밌게 잘봤어요! 후반부로 갈수록 휘몰아치네요"
"172","미션 파서블","10","이영화 재밌어요 와우 대박 반전 !"
"173","이스케이프 플랜3","10","미쳤다 !!!슬펐다!!! 죽지 않길 바랬는데 ..."
"174","극장판 귀멸의 칼날: 무한열차편","10","공감하면서 눈물흘리면서 재밌게 봤어요!연기 굿!"
"175","승리호","10","기대보다 더 좋았어요. 마음이 편해지는 영상과 음악, 거기에 배우들의 멋진 연기들까지 호평 받을만한 영화가 분명합니다. 가족들 데리고 한번 더 보러가고 싶네요"
"176","톰과 제리","8","영상미와 음악이 큰 몫합니다. 보는 내내 먹먹해요"
"177","명량","10",""
"178","명량","10","너무나도 감동스럽고 재밋엇습니다 추천합니다!!"
"179","명량","8","소재가 특이했고 영상미도 압도적이었음. 재미있게 보고옴."
"180","극장판 귀멸의 칼날: 무한열차편","6","미국 이민자들의 고난과 시련을 알수 있었음"
"181","승리호","10","띵작이다 띵작.. 왜 이걸 이제야 봤지"
"182","미션 파서블","10","영상미가 좋아요 역시 귀칼"
"183","이스케이프 플랜3","10","잔잔하게 감동적 입니다."
"184","극장판 귀멸의 칼날: 무한열차편","10","주동우가 차안에서 애처럼 우는게 정말 와닿고 나조차 눈물이 났다."
"185","승리호","10","재미있게 잘봤어요^^"
"186","톰과 제리","10","재밌어요~ 애니 내용 몰라도 대충 이해됩니다"
"187","명량","9","아무 생각없이 보다 얻어 걸린 대박영화네요...웃음과감동 그리고 적절한 공포....개봉한지 8년이 지난 지금 감상했습니다한국 뮤직 비디오에도 출연한 이력이 있는여주인 다비카후네~  지금도 유명하고 이쁘지만8년전 미모가 더 이쁜거 같네요!!"
"188","명량","10","인권씨를 좋아하는 팬으로써 안타깝네요.개성과 연기력에 걸맞는 좋은영화 만나시길..."
"189","명량","10","미쳤다진짜 어떻게 이런 영화를 만들 수 있지RPG 끊었는데 또 하고 싶어짐 ㅠ"
"190","극장판 귀멸의 칼날: 무한열차편","10","와...내추억... 진짜 눈물나네여 ㅠㅠ"
"191","승리호","10","재밌음!!! 배우들 케미가 쩖ㅋ"
"192","미션 파서블","10","화염의 호흡 오의! 연옥!"
"193","이스케이프 플랜3","8","사모님 줘팰때 ㄹㅇ 통쾌해서 별4개줌"
"194","극장판 귀멸의 칼날: 무한열차편","10","남주존잘 .. 여주존예 ... 아름답다"
"195","승리호","10","역작이다 두번봐라 ㅇㅇ"
"196","톰과 제리","10","나는 지금까지 쌓아온 모든 관념과 압박을 버리고 주인공 소녀만큼 성장할 수 있을까 싶었던... 영화 재밌어요"
"197","명량","10","Maybe human is devine."
"198","명량","10",""
"199","명량","10","오랜만의 스티븐연 얼굴을 볼 수 있어서 너무 좋았고 신파적이지 않아서 너무 좋았다"
"200","극장판 귀멸의 칼날: 무한열차편","10","마음이 따뜻해지는 영화 ,, 잔잔하고 보는 내내 행복했다"
"201","승리호","9","진지하고 묵직한 영화...마지막에 불씬은 여운이 많이 남았습니다..."
"202","미션 파서블","10","주인공이 바뀌는건 아시죠?"
"203","이스케이프 플랜3","6",""
"204","극장판 귀멸의 칼날: 무한열차편","10","가족의 의미... 미국에서 이런 영화를..."
"205","승리호","10","직이주네 영감이 피어오르는 감사한 영화네 이거"
"206","톰과 제리","10","인생 애니메이션 영화. 특히 작화와 ost가 미쳤다. 너의 이름은과 날씨의 아이보다 더 재밌었던 영화."
"207","명량","10","막상 영화볼땐 눈물이 안나다가 곱씹으면서 ㅜㅜㅜ 주륵 ㅜ 단순한 소년만화가 아니다 여러가지 교훈을 잘 담고 있는 애니메이션. 유포터블 감사합니다!"
"208","명량","4","뭔데 이게.... 미나리를 한 번도 검색하지 않았음에도 불구하고 각종 매체에서 호평인게 눈에 띄거나 귀에 들어오기에 개봉하자마자 봤더니 기대가 너무 큰 탓인가? 아니 그건 아닌 것 같고... 재미 없었다. 무슨 사건 하나가 터지길 바랬는데 러닝타임 두시간 째가 다 되어가는데도 아무 일이 일어나지 않더라. 자극에 너무 물들어 버렸다고 하기에는 영화가 너무나도 잔잔함. 윤여정님의 연기는 좋았음. 근데 왜 그렇게 된 지 설명을 안해줌..."
"209","명량","10","이런 영화가 많이 나왔으면.... 신파가 없으니 여운이 더 오래 가네요"
"210","극장판 귀멸의 칼날: 무한열차편","6","텔미 뭐야 진짜ㅋㅋㅋㅋ준호때문에 봤다"
"211","승리호","10","작품성으론 사실상 또 하나의 만점 영화, 무슨 설명이 더 필요한가? 한 마디로 명불허전 나홍진의 또 하나의 곡성과 추격자, 그나저나 아내가 임신했는대도 불구하고 마음 속으로 피눈물을 흘리며 강간씬을 찍은 철민이 형님 제발 이젠 좀 뜨고 편하게 살았으면 좋겠습니다..."
"212","미션 파서블","8","아 나 너무 기대하고 가서 좀 아쉬웠음 울 준비 다했는데 한방울 흘리고 나옴"
"213","이스케이프 플랜3","8","그럼에도 가족, 그렇기에 가족."
"214","극장판 귀멸의 칼날: 무한열차편","9","괴로워도 슬퍼도 꿋꿋이 강하게 살아갈, 이 세상 모든 미나리들을 응원하며."
