기간,자치구,합계,계(개),인도(주인),입양분양,폐사안락사,계류기증,,,,,
2014,강남구,219,173,60,35,78,-,,,,,
2014,송파구,426,271,90,44,137,-,,,,,
2014,강동구,330,309,110,54,145,-,,,,,
2015,합계,"8,902","6,060","2,193","1,453","2,358",56,,,,,
2015,종로구,254,159,54,15,89,1,,,,,
2015,중구,153,82,19,18,45,-,,,,,
2015,용산구,489,287,145,119,23,-,,,,,
2015,성동구,228,158,43,28,86,1,,,,,
2015,광진구,347,240,104,47,83,6,,,,,
2015,동대문구,410,249,83,53,109,4,,,,,
2015,중랑구,382,290,116,39,131,4,,,,,
2015,성북구,379,280,84,43,150,3,,,,,
2015,강북구,401,307,97,56,151,3,,,,,
2015,도봉구,297,238,78,36,121,3,,,,,
2015,노원구,292,243,72,47,121,3,,,,,
2015,은평구,456,348,96,69,181,2,,,,,
2015,서대문구,344,213,77,34,102,-,,,,,
2015,마포구,586,268,130,94,34,10,,,,,
2015,양천구,419,344,152,107,85,-,,,,,
2015,강서구,391,285,99,51,130,5,,,,,
2015,구로구,237,193,35,39,116,3,,,,,
2015,금천구,163,139,44,27,67,1,,,,,
2015,영등포구,299,159,45,34,78,2,,,,,
2015,동작구,288,258,138,40,80,-,,,,,
2015,관악구,"1,047",519,203,297,19,-,,,,,
2015,서초구,181,129,46,33,50,-,,,,,
2015,강남구,210,157,54,28,74,1,,,,,
2015,송파구,356,237,84,45,106,2,,,,,
2015,강동구,293,278,95,54,127,2,,,,,
2016,합계,"8,645","5,872","2,203","1,590","2,048",31,,,,,
2016,종로구,242,165,47,26,92,-,,,,,
2016,중구,159,85,27,21,37,-,,,,,
2016,용산구,482,252,138,98,16,-,,,,,
2016,성동구,231,161,67,29,65,-,,,,,
2016,광진구,296,199,84,49,65,1,,,,,
2016,동대문구,363,266,75,57,132,2,,,,,
2016,중랑구,394,310,106,78,124,2,,,,,
2016,성북구,376,277,95,57,124,1,,,,,
2016,강북구,355,280,91,62,127,-,,,,,
2016,도봉구,315,212,71,59,80,2,,,,,
2016,노원구,330,251,101,60,88,2,,,,,
2016,은평구,449,308,99,53,152,4,,,,,
2016,서대문구,331,198,69,38,91,-,,,,,
2016,마포구,600,240,118,90,20,12,,,,,
2016,양천구,425,306,148,78,80,-,,,,,
2016,강서구,394,288,105,65,117,1,,,,,
2016,구로구,210,163,51,37,74,1,,,,,
2016,금천구,216,164,45,50,67,2,,,,,
2016,영등포구,279,175,57,44,74,-,,,,,
2016,동작구,335,277,146,51,80,-,,,,,
2016,관악구,814,550,205,318,27,-,,,,,
2016,서초구,176,112,42,27,43,-,,,,,
2016,강남구,240,166,65,47,53,1,,,,,
2016,송파구,336,241,76,48,117,-,,,,,
2016,강동구,297,226,75,48,103,-,,,,,
2017,합계,"8,630","5,584","2,014","1,622","1,915",33,,,,,
2017,종로구,288,161,45,26,89,1,,,,,
2017,중구,185,99,26,25,46,2,,,,,
2017,용산구,386,189,105,63,12,9,,,,,
2017,성동구,249,154,53,34,67,-,,,,,
2017,광진구,310,189,86,38,63,2,,,,,
2017,동대문구,379,236,83,56,96,1,,,,,
2017,중랑구,423,284,96,84,104,-,,,,,
2017,성북구,378,260,93,51,115,1,,,,,
2017,강북구,382,276,86,77,113,-,,,,,
2017,도봉구,331,213,81,46,86,-,,,,,
2017,노원구,339,237,84,41,110,2,,,,,
2017,은평구,463,353,89,77,185,2,,,,,
2017,서대문구,244,192,67,39,84,2,,,,,
2017,마포구,610,242,114,103,15,10,,,,,
2017,양천구,427,289,124,156,9,-,,,,,
2017,강서구,374,275,99,64,112,-,,,,,
2017,구로구,233,206,51,67,88,-,,,,,
2017,금천구,184,138,42,36,60,-,,,,,
2017,영등포구,242,148,50,38,60,-,,,,,
2017,동작구,311,235,117,55,63,-,,,,,
2017,관악구,701,450,167,266,17,-,,,,,
2017,서초구,194,130,49,26,55,-,,,,,
2017,강남구,246,146,52,40,54,-,,,,,
2017,송파구,309,227,71,55,101,-,,,,,
2017,강동구,442,255,84,59,111,1,,,,,
2018,합계,"8,220","5,368","2,017","1,572","1,703",76,,,,,
2018,종로구,240,122,50,23,49,-,,,,,
2018,중구,163,92,29,24,38,1,,,,,
2018,용산구,294,190,79,74,17,20,,,,,
2018,성동구,245,155,46,31,77,1,,,,,
2018,광진구,325,190,93,36,60,1,,,,,
2018,동대문구,298,237,91,57,86,3,,,,,
2018,중랑구,406,259,84,72,100,3,,,,,
2018,성북구,352,261,78,43,138,2,,,,,
2018,강북구,420,280,98,59,119,4,,,,,
2018,도봉구,276,204,76,45,82,1,,,,,
2018,노원구,294,222,63,49,109,1,,,,,
2018,은평구,384,285,95,52,133,5,,,,,
2018,서대문구,188,179,73,23,82,1,,,,,
2018,마포구,528,222,106,89,15,12,,,,,
2018,양천구,365,231,117,112,2,-,,,,,
2018,강서구,425,288,99,81,103,5,,,,,
2018,구로구,215,173,41,53,76,3,,,,,
2018,금천구,181,135,37,38,58,2,,,,,
2018,영등포구,229,139,50,44,43,2,,,,,
2018,동작구,275,227,118,67,42,-,,,,,
2018,관악구,880,493,207,275,11,-,,,,,
2018,서초구,182,124,42,15,64,3,,,,,
2018,강남구,271,158,58,41,57,2,,,,,
2018,송파구,326,211,57,62,90,2,,,,,
2018,강동구,458,291,130,107,52,2,,,,,
2019,합계,"7,515","4,533","1,794","1,222","1,300",217,,,,,
2019,종로구,245,134,38,25,65,6,,,,,
2019,중구,134,65,17,17,29,2,,,,,
2019,용산구,281,168,104,45,8,11,,,,,
2019,성동구,199,121,50,28,39,4,,,,,
2019,광진구,250,141,57,34,40,10,,,,,
2019,동대문구,289,184,70,36,67,11,,,,,
2019,중랑구,394,247,108,50,79,10,,,,,
2019,성북구,253,187,65,33,80,9,,,,,
2019,강북구,367,266,91,59,102,14,,,,,
2019,도봉구,262,180,64,43,65,8,,,,,
2019,노원구,304,210,69,50,78,13,,,,,
2019,은평구,337,252,87,41,106,18,,,,,
2019,서대문구,166,141,53,27,52,9,,,,,
2019,마포구,541,152,70,58,16,8,,,,,
2019,양천구,326,208,116,88,4,-,,,,,
2019,강서구,264,177,66,37,63,11,,,,,
2019,구로구,294,158,48,36,67,7,,,,,
2019,금천구,201,128,39,26,56,7,,,,,
2019,영등포구,230,142,53,31,42,16,,,,,
2019,동작구,270,185,111,39,30,5,,,,,
2019,관악구,815,428,181,225,22,-,,,,,
2019,서초구,174,110,35,32,31,12,,,,,
2019,강남구,234,147,44,49,46,8,,,,,
2019,송파구,269,179,75,36,58,10,,,,,
2019,강동구,416,223,83,77,55,8,,,,,
2020,합계,"6,378","3,422","1,494","1,017",777,134,,,,,
2020,종로구,225,114,27,29,56,2,,,,,
2020,중구,104,41,19,12,8,2,,,,,
2020,용산구,258,136,87,40,4,5,,,,,
2020,성동구,174,88,30,27,27,4,,,,,
2020,광진구,191,104,51,24,28,1,,,,,
2020,동대문구,282,141,47,48,37,9,,,,,
2020,중랑구,273,151,47,56,38,10,,,,,
2020,성북구,208,140,67,23,46,4,,,,,
2020,강북구,311,207,61,58,80,8,,,,,
2020,도봉구,262,161,66,39,48,8,,,,,
2020,노원구,262,164,49,47,58,10,,,,,
2020,은평구,272,191,79,40,66,6,,,,,
2020,서대문구,137,73,30,23,18,2,,,,,
2020,마포구,341,117,65,45,-,7,,,,,
2020,양천구,325,160,110,47,3,-,,,,,
2020,강서구,259,151,64,43,38,6,,,,,
2020,구로구,156,98,37,20,37,4,,,,,
2020,금천구,182,113,53,39,15,6,,,,,
2020,영등포구,149,76,30,23,18,5,,,,,
2020,동작구,260,135,87,31,17,-,,,,,
2020,관악구,693,301,149,138,9,5,,,,,
2020,서초구,163,94,27,20,44,3,,,,,
2020,강남구,254,136,50,56,23,7,,,,,
2020,송파구,258,140,64,35,31,10,,,,,
2020,강동구,379,190,98,54,28,10,,,,,
